cm,CU,
-4.64664704426909,1.02660465514659,
-4.60746514303744,1.03163986869639,
-4.5682832418058,1.03477423989118,
-4.52910134057415,1.03641900711302,
-4.4899194393425,1.03398844202132,
-4.45073753811086,1.03453126973559,
-4.41155563687921,1.0358880464958,
-4.37237373564756,1.03478118028437,
-4.33319183441591,1.03463482002053,
-4.29400993318427,1.03396325786771,
-4.25482803195262,1.03313915772751,
-4.21564613072097,1.03298930187615,
-4.17646422948933,1.03384536493944,
-4.13728232825768,1.03510964680097,
-4.09810042702603,1.03430262762668,
-4.05891852579439,1.03311582586542,
-4.01973662456274,1.03382522130568,
-3.98055472333109,1.03429065814575,
-3.94137282209945,1.03417009556,
-3.9021909208678,1.03402864422761,
-3.86300901963615,1.03361417274794,
-3.8238271184045,1.03277073894861,
-3.78464521717286,1.03312427087544,
-3.74546331594121,1.03273118147904,
-3.70628141470956,1.03305989037971,
-3.66709951347792,1.03320824727112,
-3.62791761224627,1.03246600580856,
-3.58873571101462,1.03206931339069,
-3.54955380978298,1.03079057998292,
-3.51037190855133,1.03396241467587,
-3.47119000731968,1.03363984116789,
-3.43200810608804,1.03328682877554,
-3.39282620485639,1.03323926690309,
-3.35364430362474,1.03027025228161,
-3.3144624023931,1.03200487161561,
-3.27528050116145,1.03065915577649,
-3.2360985999298,1.03096094757436,
-3.19691669869816,1.03091615739098,
-3.15773479746651,1.03108518958141,
-3.11855289623486,1.02942871457962,
-3.07937099500321,1.02996256836598,
-3.04018909377157,1.02929396059022,
-3.00100719253992,1.02946686931537,
-2.96182529130827,1.02997264773319,
-2.92264339007663,1.02960404710016,
-2.88346148884498,1.02940503207539,
-2.84427958761333,1.02953228653723,
-2.80509768638169,1.02861660755381,
-2.76591578515004,1.02963465805878,
-2.72673388391839,1.02894757255372,
-2.68755198268675,1.02885013188413,
-2.6483700814551,1.02834123771315,
-2.60918818022345,1.02817871172216,
-2.5700062789918,1.02862827392059,
-2.53082437776016,1.02866756731307,
-2.49164247652851,1.02828169152802,
-2.45246057529686,1.02868755081698,
-2.41327867406522,1.02836620633378,
-2.37409677283357,1.02765358685327,
-2.33491487160192,1.02667581884111,
-2.29573297037028,1.02693319181162,
-2.25655106913863,1.02718200536172,
-2.21736916790698,1.02742217424303,
-2.17818726667534,1.02651685011049,
-2.13900536544369,1.02597891927487,
-2.09982346421204,1.02634187339585,
-2.06064156298039,1.02612662827192,
-2.02145966174875,1.02688465253117,
-1.9822777605171,1.02702182604167,
-1.94309585928545,1.02611220154286,
-1.90391395805381,1.02577629565895,
-1.86473205682216,1.02543096622797,
-1.82555015559051,1.02456069147869,
-1.78636825435887,1.02460880227547,
-1.74718635312722,1.02409606519068,
-1.70800445189557,1.02399756358808,
-1.66882255066393,1.02478411940492,
-1.62964064943228,1.02488188502629,
-1.59045874820063,1.02459858469117,
-1.55127684696899,1.02402934408563,
-1.51209494573734,1.02369709804113,
-1.47291304450569,1.02357591807693,
-1.43373114327404,1.02349430004602,
-1.3945492420424,1.02307307848255,
-1.35536734081075,1.02290039070431,
-1.3161854395791,1.02268430206655,
-1.27700353834746,1.02279382685949,
-1.23782163711581,1.02248566812725,
-1.19863973588416,1.02240999507413,
-1.15945783465252,1.02269262357173,
-1.12027593342087,1.02248292447361,
-1.08109403218922,1.02132309772748,
-1.04191213095758,1.02090692957124,
-1.00273022972593,1.02211535317418,
-0.963548328494282,1.02257727050933,
-0.924366427262635,1.02359094204226,
-0.885184526030989,1.0233992457601,
-0.846002624799341,1.0203691332508,
-0.806820723567695,1.01990059974306,
-0.767638822336048,1.02002522525355,
-0.7284569211044,1.01948711560606,
-0.689275019872754,1.02002305847469,
-0.650093118641107,1.01907953895598,
-0.610911217409461,1.0185693741683,
-0.571729316177813,1.018033461805,
-0.532547414946167,1.0197853010998,
-0.493365513714519,1.01892718445359,
-0.454183612482872,1.01954920015008,
